id,Pozo,Yacimiento,Base,Tope,Formacion,Miembro,Caudal,Reservas,Espesor_bruto,Espesor_neto,Porosidad,Saturacion_agua,Permeabilidad_ajustada,Permeabilidad_timur,Indice_hidrocarburos,Gradiente_inicial,Gradiente_actual,Viscosidad_petroleo,Factor_volumetrico_petroleo,Compresibilidad_fluidos,API,Area_drenaje,YEAR,b,D,hasrq,Caudal_formula,Permeabilidad
1,Pozo_42,Yacimiento_6,3270,3180,Formacion_5,Miembro_101,8.422064636,4.620138993,90,23,0.102,0.493,0.30277747,0.394652594,1.189422,0.45,0.26,1.097699574,1.12050833,1.58E-05,33,4.675755078,2015,1.5,0.3,1,10.57142806,0.394652594
2,Pozo_42,Yacimiento_6,3140,3060,Formacion_5,Miembro_101,20.15177573,11.05477206,80,58.5,0.124,0.456,0.365662501,1.089416061,3.946176,0.45,0.23,1.195680245,1.116485832,1.79E-05,33,3.021622447,2015,1.5,0.3,1,51.71371817,1.089416061
3,Pozo_42,Yacimiento_6,1470,1335,Formacion_2,Miembro_101,10.24419781,6.593118535,135,42.5,0.096,0.52,0.416863022,0.271678195,1.9584,0.45,0.3,1.383920163,1.177167944,9.95E-05,36,5.189987671,2015,1.5,0.3,1,7.256686487,0.271678195
4,Pozo_42,Yacimiento_6,1190,1160,Formacion_2,Miembro_101,7.893081934,5.079951183,30,23.5,0.109,0.483,0.844868199,0.550617961,1.3242955,0.45,0.3,1.56538373,1.168282212,0.000117534,36,5.67981901,2015,1.5,0.3,1,5.562505881,0.550617961
5,Pozo_43,Yacimiento_6,2910,2850,Formacion_11,Miembro_101,2.311590589,1.232287571,60,30,0.085,0.514,0.02775,0.162774016,1.2393,0.47,0.47,1.370609505,1.128041857,3.59E-06,33,1.412875845,2015,1.8,0.5,1,8.743103244,0.15
6,Pozo_43,Yacimiento_6,2490,2430,Formacion_5,Miembro_101,3.988171652,2.126057435,60,31.5,0.102,0.479,0.0555,0.418059189,1.673973,0.45,0.45,1.098777891,1.122811525,3.61E-06,33,1.667599887,2015,1.8,0.5,1,16.0426569,0.3
7,Pozo_43,Yacimiento_6,1940,1850,Formacion_7,Miembro_101,6.291019906,3.353684548,90,59.5,0.075,0.458,0.0925,0.118197053,2.418675,0.45,0.22,1.04181172,1.072382644,5.20E-05,33,1.650852254,2015,1.8,0.5,1,23.66426873,0.5
8,Pozo_43,Yacimiento_6,1805,1760,Formacion_7,Miembro_101,2.866834465,1.528282948,45,29,0.082,0.484,0.0925,0.156732215,1.227048,0.45,0.22,1.091077295,1.069266848,5.48E-05,33,1.466312374,2015,1.8,0.5,1,10.61227224,0.5
9,Pozo_45,Yacimiento_1,4570,4430,Formacion_11,Miembro_101,8.177671923,3.953337635,140,26.5,0.102,0.569,0.0648,0.296267674,1.164993,0.47,0.42,0.840160776,1.154735935,3.82E-06,32,4.26460093,2015,1.5,0.4,1,13.56930388,0.12
10,Pozo_45,Yacimiento_1,4160,3980,Formacion_7,Miembro_101,14.44623985,6.810840023,180,30,0.091,0.509,0.189,0.224085939,1.34043,0.45,0.33,1.060814864,1.122646815,1.22E-05,35,6.111336675,2015,1.5,0.4,1,24.11671084,0.35
11,Pozo_45,Yacimiento_1,3720,3570,Formacion_7,Miembro_101,9.867879655,4.652321323,150,26,0.118,0.523,0.1728,0.665802618,1.463436,0.45,0.33,1.188491726,1.109425133,1.29E-05,35,3.733894291,2015,1.5,0.4,1,16.34193979,0.32
12,Pozo_45,Yacimiento_1,3530,3380,Formacion_7,Miembro_101,8.594029848,4.051750701,150,25,0.113,0.542,0.1728,0.512406491,1.29385,0.45,0.33,1.255061539,1.103579078,1.32E-05,35,3.710020547,2015,1.5,0.4,1,14.21802352,0.32
13,Pozo_45,Yacimiento_1,1485,1390,Formacion_16,Miembro_38,6.628267212,3.365481311,95,20,0.118,0.475,0.648,0.807163765,1.239,0.42,0.225,1.565747798,1.16615563,9.75E-05,36,2.756329624,2015,1.5,0.4,1,10.78341372,1.2
14,Pozo_45,Yacimiento_1,1345,1285,Formacion_16,Miembro_39,9.378950159,4.658687672,60,13,0.106,0.548,2.43,0.37831428,0.622856,0.42,0.2,1.741809302,1.159141849,0.000118341,36,6.790327335,2015,1.5,0.4,1,15.67339784,4.5
15,Pozo_46,Yacimiento_1,5025,4955,Formacion_11,Miembro_101,1.651823872,0.581380352,70,22.5,0.104,0.529,0.017539468,0.373339029,1.10214,0.47,0.23,0.970727128,1.133472952,1.27E-05,33,0.581051695,2015,1.5,0.25,1,17.45986676,0.373339029
16,Pozo_46,Yacimiento_1,4775,4675,Formacion_11,Miembro_101,1.791903903,0.678194078,100,29.5,0.099,0.511,0.015133316,0.322122529,1.4281245,0.47,0.23,1.040863789,1.130711993,1.32E-05,33,0.544834834,2015,1.5,0.25,1,17.99840944,0.322122529
17,Pozo_46,Yacimiento_1,4635,4545,Formacion_11,Miembro_101,1.524684145,0.501346929,90,26,0.101,0.531,0.015304039,0.325756467,1.231594,0.47,0.23,1.07997781,1.129310421,1.34E-05,33,0.464984331,2015,1.5,0.25,1,15.11218173,0.325756467
18,Pozo_46,Yacimiento_1,4335,4155,Formacion_11,Miembro_101,1.376994238,0.417959545,180,31.5,0.103,0.478,0.020587758,0.43822388,1.693629,0.47,0.23,1.192032234,1.125746068,1.42E-05,33,0.283400964,2015,1.5,0.25,1,20.04576561,0.43822388
19,Pozo_53,Yacimiento_1,5145,5080,Formacion_11,Miembro_101,0.830471344,0.165648638,65,19,0.101,0.512,0.0112,0.350382306,0.936472,0.47,0.22,0.807715792,1.135517956,1.31E-05,35,0.209529904,2015,1.6,0.25,1,7.041523959,0.16
20,Pozo_53,Yacimiento_1,4970,4890,Formacion_11,Miembro_101,1.121791771,0.306893085,80,27,0.112,0.571,0.0112,0.443971536,1.297296,0.47,0.22,0.84424296,1.133579265,1.32E-05,35,0.273247255,2015,1.6,0.25,1,9.376481876,0.16
21,Pozo_53,Yacimiento_1,4850,4765,Formacion_11,Miembro_101,1.371743446,0.445637599,85,35,0.105,0.62,0.0112,0.283476839,1.3965,0.47,0.22,0.870410088,1.132281099,1.33E-05,35,0.371664829,2015,1.6,0.25,1,11.47210532,0.16
22,Pozo_53,Yacimiento_1,4334,4307,Formacion_7,Miembro_101,1.968235026,0.718914268,27,22.5,0.12,0.55,0.01666,0.648246451,1.215,0.45,0.22,0.430943778,1.152148228,1.57E-05,35,0.568479545,2015,1.6,0.25,1,18.02819104,0.238
23,Pozo_53,Yacimiento_1,4250,4210,Formacion_7,Miembro_101,1.689171042,0.55784498,40,20,0.12,0.58,0.01666,0.582920783,1.008,0.45,0.22,0.439797034,1.149134006,1.58E-05,35,0.529136994,2015,1.6,0.25,1,15.44286213,0.238
24,Pozo_54,Yacimiento_5,4665,4580,Formacion_11,Miembro_101,6.521345048,3.801060593,85,22.5,0.1,0.58,0.128,0.261343713,0.945,0.47,0.33,1.126536648,1.14145678,3.69E-06,30,4.810583393,2015,1.6,0.3,1,9.562027744,0.2
25,Pozo_54,Yacimiento_5,3975,3885,Formacion_5,Miembro_101,9.284694353,5.411718834,90,31,0.11,0.55,0.192,0.442049069,1.5345,0.45,0.25,1.076058801,1.122712036,1.38E-05,33,4.094236387,2015,1.6,0.3,1,13.57400662,0.3
